16.662,145.1
21.429,145.4
19.982,145.9
36.368,146.3
10.068,146.8
73.458,147.1
40.197,147.6
44.202,147.9
60.529,148.1
70.098,148.8
76.104,149.2
70.485,149.6
78.267,150.1
85.858,150.6
104.472,150.8
56.724,151.4
59.393,151.8
71.013,152.1
55.955,152.3
69.192,152.8
66.427,152.9
96.031,153.4
101.296,153.9
132.916,154.3
146.302,154.5
,154.8
,155.3
,155.5
,155.9
,156.4
,156.7
,157.1
,157.5
,157.8
,158.2
,158.3
,159
,159.4
,159.9
,160.4
,160.7
,161.1
,161.4
,161.8
,162.2
,162.7
,163
,163.1
,163.7
,164
,164.4
,164.6
,165
,165.4
,165.7
,166
,166.5
,166.8
,167.2
,167.4
,167.8
,168.1
,168.4
,168.9
,169.2
,169.4
,169.7
,169.8
,170.2
,170.6
,170.8
,171.2
,171.6
,171.9
,172.2
,172.5
,172.9
,173.2
,173.5
,174
,174.2
,174.4
,174.8
,175.4
,175.6
,175.6
,175.7
,176.3
,176.5
,176.6
,177.1
,177.3
,177.8
,178.1
,178.4
,178.7
,179.3
,179.4
,180
,180.3
,180.7
,181.1
,181.5
,181.9
,182.3
,182.6
,183.1
,183.3
,183.9
,184.4
,184.7
,185.1
,185.3
,186
,186.4
,186.7
,187.1
,187.4
,188.1
,188.4
,188.7
,189.1
,189.2
,189.7
,190
,190.2
,190.5
,191.1
,191.3
,191.5
,191.9
,192.1
,192.4
,192.5
,192.5
,192.5
,192.9
,193
,193.4
,193.6
,193.7
,194
,194
,194.2
,194.6
,194.9
,195.5
,195.9
,196.2
,196.6
,196.8
,196.9
,197.5
,197.9
,198.3
,198.6
,199
,199.4
,200.1
,200.2
,200.5
,200.6
,200.9
,201.1
,201.3
,202
,202.5
,202.8
,203.2
,203.6
,204.3
,204.8
,205.4
,205.9
,206.3
,206.8
,207.2
,207.6
,207.8
,208.1
,208.6
,209.135
,209.418
,209.747
,210.058
,210.392
,210.773
,211.119
,211.554
,212.077
,212.66
,213.168
,213.771
,213.939
,214.42
,214.56
,214.936
,215.424
,215.965
,216.393
,216.713
,216.788
,216.947
,216.925
,217.346
,217.792
,218.253
,218.706
,218.904
,219.112
,219.263
,219.496
,219.92
,220.501
,220.666
,220.881
,220.633
,220.731
,220.783
,220.822
,220.962
,221.194
,221.363
,221.509
,221.711
,221.83
,222.149
,222.343
,222.803
,223.213
,223.454
,223.727
,224.175
,224.697
,225.218
,225.862
,226.118
,226.506
,226.899
,227.405
,227.877
,228.034
,228.478
,228.905
,229.224
,229.623
,229.97
,230.233
,230.659
,231.024
,231.33
,231.725
,232.229
,232.569
,232.794
,232.832
,232.996
,233.35
,233.88
,234.336
,234.7
,234.921
,235.359
,235.759
,235.961
,236.185
,236.625
,237.072
,237.529
,237.837
,238.195
,238.405
,238.786
,239.191
,239.458
,239.584
,239.811
,240.172
,240.755
,241.346
,241.688
,242.064
,242.565
,242.817
,243.316
,243.768
,244.241
,244.547
,245.075
,245.644
,245.964
,246.467
,247.036
,247.435
,247.791
,248.371
,248.709
,249.068
,249.502
,249.959
